session_id,user_id,start_time,end_time,session_length_s,region,platform,gpu_model,avg_fps,ping_ms,map_name,crash_flag,purchase_amount,party_size,input_method,build_version,is_featured_event,device_temp_c,session_type,is_long_session
sess_c56397930497,user_1200,10/24/2025 08:02,2025-10-24T08:24:12Z,1277.0, EU ,Pc,GTX1080,59.91,47.93,Forest,False,0.0,2,kbm,,0,39.5,CASUAL,0
sess_61f2745ed004,user_496,2025-04-06 22:27:25-05:00,2025-04-07T00:23:33Z,6968.0,apac,PC,GTX1080,80.45,87.88,City-xl,false,0.0,2,Controller,1.3.2,0,63.2,ranked,Yes
sess_2bf575972df5,user_596,04/15/2025 03:35,2025-04-15T04:10:22Z,2099.0,EU,Mobile,,37.15,55.58,desert,0,0.0,4, kb/m ,v1.3.2,No,46.1,casual,No
sess_85164297cb46,user_73,04/11/2025 02:16,11/04/2025 03:21,3924.0,APAC,PC,RX 6600,99.92,63.34,Forest,No,0.68,1,kb/m,latest,1,40.5,CASUAL,true
sess_3ff3a2c8682e,user_90,2025-05-23 05:06:51+00:00,2025-05-23 05:44:30+01:00,2259.0,US-WEST,PC,GeForce RTX-3060,40.91,65.29,CITY-XL,0,0.0,5,CONTROLLER,1.4,false,50.7,ranked,false
sess_2300ad8c965a,user_1109,06/10/2025 05:13,2025-10-06 06:23:11-05:00,4182.0,US-EAST,MOBILE,,64.82,61.67,arena-1,False,8.14,3,KB/M,1.4.0-beta,No,52.2,ranked,true
sess_2ce9eea2fa41,user_2108,2025-07-30 18:45:30+00:00,07/30/2025 19:01,933.0,us-east, Pc ,Intel Iris,70.74,36.66,forest,0,7.78,1,controller,1.4,0,53.4,casual,False
sess_bef87c42ebb0,user_865,02/14/2025 23:49,02/15/2025 01:35,6373.0,Us-west,Xbox,,66.78,34.97,Forest,False,10.79,3,touch,1.3.2,No,50.6,ranked,True
sess_c7acbf4ff45b,user_1131,2025-03-27 03:54:38-05:00,2025-03-27 04:03:21-05:00,523.0,Us-West,PC,Intel Iris,96.76,52.84,forest,0,7.07,4,Touch,1.4.0-beta,false,56.0,casual,False
sess_9ddb28e1e7f8,user_2410,2025-05-29 04:56:45+00:00,2025-05-29T06:05:40Z,4135.0,SA-EAST-1,xbox,,50.8,76.23,desert,False,0.0,1,Controller,1.3.2,False,56.8,ranked,true
sess_75910a232a06,user_2304,2025-10-26 16:06:41-05:00,2025-10-26T17:40:45Z,5644.0,Us-east,Xbox,,57.17,62.47,cave,false,-2.84,2,CONTROLLER,1.4.0-beta,false,62.8,casual,true
sess_515d9787a9af,user_971,26/03/2025 03:02,03/26/2025 04:49,6375.0,US-EAST,pc,RTX-4090,69.21,92.2,ocean,No,"4,27",3,kbm,1.4,No,63.3,RANKED,true
sess_8faf3447f6c6,user_1257,01/05/2025 01:43,2025-01-05T01:50:50Z,413.0,us-east,Switch,,57.55,48.14, ocean ,0,-2.77,4,Touch,latest,0,56.6,casual,0
sess_5f195841ebaa,user_1215,2025-11-14T16:59:20Z,14/11/2025 17:25,1557.0,apac,switch,,61.62,45.93,desert,0,0.0,1,KB/M,1.4.0-beta,False,50.8,ranked,No
sess_5f74112990ea,user_2302,22/10/2025 17:46,22/10/2025 19:24,5842.0,EU,PlayStation,,62.7,61.96,ocean,0,6.55,1,CONTROLLR,v1.3.2,0,50.0,ranked,Yes
sess_8541c71f4c50,user_2114,01/09/2025 05:05,2025-09-01T05:21:59Z,986.0,Us-east,PC,RTX 3060,92.03,36.6,cave,False,"0,31",2, Kbm ,1.4,False,59.4,CASUAL,False
sess_bf6cafb2b432,user_1670,03/23/2025 02:29,23/03/2025 04:09,6019.0,Us-west,PC,RX 6600,94.8,49.34,city-xl,0,0.0,2,Touch,,No,65.6,casual,true
sess_ed88ea218a9c,user_2419,19/05/2025 23:08,05/20/2025 01:02,114.0,APAC,Xbox,,58.7,61.19,CITY-XL,0,2.42,3,KB/M,1.3.2,No,64.8,casual,False
sess_518b524a9166,user_476,17/06/2025 16:15,,2323.0, EU , pc ,RTX 3060,72.24,80.71,desert,False,0.0,0,controllr,latest,No,61.9,CASUAL,0
sess_8335958acd46,user_779,06/11/2025 00:50,2025-06-11T01:36:28Z,,US-WEST,Mobile,,32.51,323.9,CITY-XL,False,0.0,0,kbm,latest,false,52.2,ranked,No
sess_eb18679c9a1c,user_1050,03/30/2025 00:02,30/03/2025 01:19,4632.0,sa-east-1,XBOX,,66.46,85.41,CAVE,false,5.38,2,kbm,1.4,False,57.5,casual,true
sess_89dd3882cc1b,user_1258,20/10/2025 20:55,2025-10-20T22:03:53Z,4102.0,Us-west, PlayStation ,,76.31,63.92,desert,0,0.0,1,touch,latest,No,61.6,ranked,1
sess_fc798b1dbd92,user_2201,2025-02-01T09:58:44Z,2025-02-01T11:28:37Z,5393.0,EU,Pc,RX 6600,72.05,55.46,ocean,false,18.53,3,TOUCH,latest,0,66.5,Casual,1
sess_f94bfbeab615,user_824,2025-10-30 07:23:20+01:00,10/30/2025 08:16,3194.0,Us-West,pc,GTX1080,86.72,20.01, ARENA-1 ,0,0.0,4,KB/M,,False,48.6,ranked,True
sess_1d1b8189d302,user_1148,26/03/2025 07:55,26/03/2025 08:15,1240.0,us-west,PlayStation,,77.73,53.91,desert,False,0.0,1,kbm,1.3.2,false,62.5,casual,False
sess_0fdab6adf481,user_87,2025-10-26T18:57:06Z,2025-10-26T19:02:30Z,324.0,APAC,MOBILE,,52.63,25.28,City-xl,false,"0,00",2,KBM,,False,57.7,casual,No
sess_01f57553450d,user_683,2025-10-21 07:00:59+01:00,21/10/2025 08:04,3809.0,APAC, mobile ,,71.23,32.45,Arena-1,False,0.0,4,Controller,1.4,False,49.1,RANKED,1
sess_b87843cecbeb,user_504,2025-12-06T14:05:33Z,2025-12-06 14:24:55+00:00,1162.0,Sa-east-1,Switch,,59.13,62.19,ARENA-1,false,0.0,1,kb/m,v1.3.2,false,54.8,casual,False
sess_912ea9bc4073,user_2161,05/10/2025 16:41,10/05/2025 17:02,21.0,sa-east-1,PLAYSTATION,,69.16,73.01,Cave,0,0.0,1,kbm,v1.3.2,false,,casual,0
sess_532f1893cb4a,user_2423,10/17/2025 03:04,2025-10-17 04:07:05-05:00,3760.0,EU,Xbox,,68.13,33.13,ocean,No,13.22,1,kb/m,latest,False,65.9,ranked,True
sess_bcadeb36c6b6,user_825,2025-10-17T18:46:07Z,2025-10-17 19:38:31+00:00,3144.0,eu,SWITCH,,84.41,4.62,OCEAN,False,0.0,1,CONTROLLER,1.3.2,False,, ranked ,True
sess_0f05633216d2,user_1116,2025-02-23T06:46:24Z,02/23/2025 08:11,5104.0,sa-east-1,MOBILE,,27.67,7.92,Forest,0,1.68,1,kbm,latest,No,53.6,CASUAL,Yes
sess_941ddc022e44,user_624,2025-10-25T05:22:45Z,10/25/2025 06:02,2383.0,US-WEST,pc,GTX1080,84.4,58.75,OCEAN,No,0.0,1,Controllr,,0,53.4,ranked,0
sess_b37d389439d8,user_1904,23/10/2025 09:56,2025-10-23T10:34:19Z,2265.0,Us-west,SWITCH,,42.81,72.65,CAVE,0,0.0,1,controllr,1.4,false,81.0,Ranked,0
sess_394b592f51b9,user_363,2025-03-29 10:43:39+01:00,2025-03-29T12:04:18Z,4839.0,SA-EAST-1,Mobile,,76.01,112.65,Arena-1,false,"7,19",2,kb/m,1.4,false,49.5,Ranked,true
sess_61cc676fa3b2,user_463,07/04/2025 07:05,2025-07-04T08:08:44Z,3780.0,EU,Xbox,,93.53,41.09,Ocean,false,2.34,1,CONTROLLR,v1.3.2,No,55.2,casual,1
sess_2567a214e2f9,user_372,11/01/2025 16:16,01/11/2025 17:50,566800.0,us-west,PLAYSTATION,,90.47,53.74,DESERT,No,0.0,4,Controllr,,No,60.0,casual,True
sess_fc8c0354d026,user_115,2025-04-15T05:51:11Z,2025-04-15T07:31:25Z,6014.0,Sa-east-1,pc,RTX 3060,80.77,104.72,DESERT,No,0.32,5, touch ,1.3.2,0,65.5,casual,Yes
sess_c39ddb4cbab8,user_1014,2025-09-04T15:00:20Z,04/09/2025 15:21,1277.0,US-WEST,PC,GeForce RTX-3060,106.62,31.28,Forest,No,0.0,1,controllr,v1.3.2,No,59.2, Ranked ,No
sess_cd29539bb108,user_2083,2025-10-27 08:37:34+01:00,27/10/2025 09:49,4287.0,eu,pc,GTX1080,75.27,69.6,Desert,0,0.16,2,kbm,v1.3.2,False,58.3,RANKED,Yes
sess_06f864df9326,user_909,2025-07-11 00:27:10+01:00,2025-07-11 01:07:33-05:00,2423.0,US-EAST,MOBILE,,79.59,41.35,cave,0,1.04,1,kbm,latest,False,57.6,ranked,0
sess_6f6d55348596,user_596,19/04/2025 11:38,04/19/2025 13:16,5892.0,Apac,PC,GTX1080,108.19,39.03,cave,False,0.0,2,touch,1.4,Yes,60.9,ranked,Yes
sess_d51ca0e27054,user_1195,2025-03-16 03:52:50+01:00,2025-03-16 05:51:10-05:00,7100.0,EU,pc,GeForce RTX-3060,94.6,11.55,CAVE,False,0.0,1,Kb/m,latest,No,65.8,casual,1
sess_e0b957ebd3e1,user_2404,03/30/2025 11:09,03/30/2025 12:05,3335.0,Sa-east-1,MOBILE,,56.62,14.98,ocean,0,"3,69",0, CONTROLLER ,latest,0,67.4,ranked,1
sess_a36882ae5c8e,user_471,2025-10-23T06:48:56Z,2025-10-23T07:26:19Z,2243.0,Us-West,switch,,60.79,14.47,ocean,No,0.0,1,controller,v1.3.2,false,53.5,casual,False
sess_5b3879e72cd1,user_1221,2025-06-03T13:49:21Z,2025-06-03 14:42:42+00:00,3201.0,Us-West,Mobile,,61.31,65.28, desert ,false,"1,61",0,Kbm,1.4,No,45.1,casual,Yes
sess_16405c6899ff,user_1842,30/09/2025 15:11,09/30/2025 15:38,26.0,EU,XBOX,,37.75,20.14,CAVE,false,0.0,1,controller,latest,No,,ranked,False
sess_610210251029,user_2463,08/08/2025 06:34,08/08/2025 07:20,2797.0,us-east,Xbox,,60.23,37.43,desert,No,0.0,1,controllr,,False,63.2,casual,true
sess_d5e39c311cfc,user_1400,03/29/2025 16:14,2025-03-29 17:04:10+00:00,49.0, us-west ,PC,RTX-4090,104.12,6.54,ARENA-1,false,0.0,5,kbm,1.3.2,No,59.1,ranked,0
sess_fe525ee583c2,user_1634,11/05/2025 04:26,2025-11-05T05:18:14Z,3118.0,EU, pc ,RTX 3060,95.28,62.22, ocean ,0,"0,00",1,KB/M,latest,0,59.8,casual,1
sess_3f1d2864c65d,user_2095,2025-10-26T02:52:35Z,2025-10-26 04:14:53-05:00,4938.0,apac,PC,GTX1080,74.2,83.0,Ocean,0,0.0,3,Controller,,False,47.0,casual,Yes
sess_d8dd8b6f51eb,user_1053,08/06/2025 00:07,2025-08-06 00:23:15-05:00,934.0,us-east, pc ,RTX 3060,93.16,28.11,ocean,false,0.0,5,controller,,0,,Ranked,No
sess_b238ffb89054,user_457,2025-10-20 06:27:20+00:00,2025-10-20T07:38:23Z,4263.0,US-EAST,pc,RX 6600,73.51,62.72,desert,False,0.0,2,KB/M,1.4,0,62.2,ranked,true
sess_d1fe96c6e470,user_558,2025-10-13T05:00:50Z,2025-10-13T06:31:27Z,5437.0,APAC,mobile,,65.53,23.12,CITY-XL,0,"0,00",2,Controller,v1.3.2,False,53.1,Ranked,Yes
sess_ed790d13acf4,user_1930,10/24/2025 23:09,2025-10-25T01:04:25Z,6913.0,sa-east-1,Mobile,,44.45,103.35,city-xl,false,8.81,3,touch,v1.3.2,No,64.4, ranked ,True
sess_8fc627c14355,user_1053,2025-10-19 16:20:33+01:00,19/10/2025 17:08,2861.0,eu,Xbox,,76.57,103.69,Forest,0,0.0,1,TOUCH,1.4.0-beta,0,50.5, ranked ,Yes
sess_927a8f15f1b6,user_1850,2025-07-26T19:53:15Z,2025-07-26T21:02:22Z,4147.0,APAC,PC,RX 6600,101.97,59.62,Arena-1,False,0.0,1,controller,1.4,False,63.9,CASUAL,Yes
sess_52024c8087e0,user_1279,2025-03-15T08:21:24Z,2025-03-15T09:24:57Z,3813.0, Us-West ,PC,RTX-4090,105.32,53.58, Arena-1 ,0,0.0,1,kb/m,1.4.0-beta,False,59.3,casual,True
sess_a4a852ff64a3,user_1111,10/01/2025 11:41,10/01/2025 12:36,3316.0,EU,PlayStation,,46.63,36.98,CAVE,False,0.0,1,controller,1.4,False,51.6,casual,true
sess_bbbda0f9e223,user_1362,2025-10-20 18:06:45+00:00,20/10/2025 19:26,4793.0,Us-West,Mobile,,47.65,43.23,desert,false,0.0,5,kbm,1.4.0-beta,No,46.3,Ranked,Yes
sess_dec565797f76,user_2264,28/09/2025 03:17,09/28/2025 03:55,2271.0,EU,PC,GTX1080,126.75,91.01,cave,Yes,0.0,3,touch,1.4.0-beta,true,52.7,casual,No
sess_1e1e312195a3,user_132,30/03/2025 03:57,2025-03-30T05:20:28Z,4973.0,apac,playstation,,86.2,33.73, Arena-1 ,False,"0,00",4, touch ,1.3.2,False,60.9,RANKED,True
sess_df6c4b58cca2,user_1412,2025-07-13T01:31:56Z,2025-07-13 02:57:31+00:00,5135.0,EU,PC,RTX 3060,89.32,42.99,Arena-1,No,"0,00",2,Controllr,v1.3.2,0,47.6,casual,1
sess_51a7e3672032,user_482,2025-10-27 07:36:23-05:00,2025-10-27 09:18:14-05:00,6111.0,apac,Switch,,39.92,4.77, ARENA-1 ,false,"0,00",1,touch,v1.3.2,0,47.9,casual,Yes
sess_36d0fac0a849,user_175,22/06/2025 21:06,2025-06-22T21:36:25Z,1784.0,sa-east-1,PlayStation,,65.1,86.61,CITY-XL,False,0.0,1,controller,1.4,0,,RANKED,No
sess_d79a780740f0,user_1877,2025-03-20T15:16:17Z,2025-03-20 16:10:17+01:00,54.0,APAC,PC,RX 6600,91.71,43.75,Arena-1,0,10.9,4,KB/M,latest,False,57.4,Ranked,false
sess_32f69cb6b1c2,user_867,2025-02-28 21:20:03-05:00,2025-02-28T23:02:44Z,6161.0,us-east, PlayStation ,,35.63,44.62,cave,false,0.0,2,CONTROLLER,1.3.2,0,55.2,casual,True
sess_6f7c40ecf380,user_569,11/29/2025 19:06,2025-11-29 19:57:19+00:00,3041.0,Us-West, PlayStation ,,78.87,27.33,desert,No,9.61,2,touch,,0,47.3,ranked,True
sess_b20d29b646bf,user_1690,2025-03-13 05:06:16-05:00,13/03/2025 05:54,2893.0,APAC, pc ,RTX 3060,90.69,53.15,Desert,No,0.0,1,TOUCH,1.4.0-beta,False,46.4,Ranked,true
sess_a6d237dd7264,user_126,2025-09-14 21:55:23+00:00,2025-09-14T22:34:58Z,39.0, SA-EAST-1 ,PlayStation,,63.55,116.74,ocean,0,"0,00",5,kbm,1.4,false,, casual ,False
sess_5c39784be4e1,user_2139,2025-05-20T19:05:12Z,05/20/2025 19:41,2204.0,eu,xbox,,30.47,51.23, cave ,No,"15,34",4,KB/M,1.4,No,64.1,casual,0
sess_8048c5ab74c6,user_1064,2025-10-25 18:10:08-05:00,2025-10-25T18:28:29Z,1101.0,us-west,Mobile,,57.26,55.65,cave,No,0.0,3,kbm,latest,false,59.1, RANKED ,false
sess_b7b441ad8684,user_1892,05/08/2025 00:35,05/08/2025 01:06,1813.0,us-east,Switch,,34.44,27.5,desert,False,0.17,4,KB/M,v1.3.2,False,58.0,ranked,False
sess_edf733a62c0e,user_966,2025-11-24T07:28:03Z,2025-11-24 07:54:45+00:00,1602.0,apac,PlayStation,,66.28,45.8,desert,False,0.0,0,controllr,1.3.2,false,55.2,RANKED,false
sess_66f261dd13f8,user_945,2025-02-14 23:35:55+00:00,2025-02-15T00:06:40Z,1845.0,us-east,Playstation,,85.35,95.04, FOREST ,False,0.0,3,controller,,false,54.1,RANKED,False
sess_36677f5131c4,user_694,03/25/2025 11:15,2025-03-25 12:50:17+00:00,5687.0,APAC,Switch,,41.58,87.69,desert,No,0.0,3,KB/M,,false,52.3,casual,true
sess_4440c87ad624,user_662,2025-10-23T19:32:25Z,10/23/2025 20:32,3621.0,us-west,PLAYSTATION,,55.95,36.68,Forest,false,0.0,3,Controller,v1.3.2,No,43.6,casual,Yes
sess_8ac4fc1b58d1,user_203,03/09/2025 21:03,09/03/2025 21:30,1646.0,SA-EAST-1,Pc,GTX1080,50.47,109.06,city-xl,False,0.0,1,kb/m,latest,false,54.1,Ranked,false
sess_a2fd5970676c,user_52,26/05/2025 05:23,26/05/2025 06:53,5424.0,SA-EAST-1,Mobile,,77.41,69.1,city-xl,0,0.0,2,kbm,1.3.2,0,59.4,Ranked,True
sess_ff9799afaaa6,user_691,22/03/2025 13:36,22/03/2025 13:53,1005.0,sa-east-1,pc,GTX1080,109.64,92.74,Arena-1,False,0.0,1,kbm,,No,54.2,Ranked,False
sess_7ab4beed4d40,user_539,2025-03-02T08:42:54Z,2025-03-02 10:13:15-05:00,5421.0,Eu,Xbox,,62.03,68.34,ARENA-1,0,0.0,5,controllr,latest,false,63.6,ranked,Yes
sess_e67c20882d61,user_1139,2025-12-13 08:28:16+01:00,12/13/2025 10:03,5735.0,Us-west,Playstation,,72.46,39.11,forest,false,0.0,1,touch,1.3.2,0,64.9,casual,true
sess_9a87a02c0ac5,user_1449,2025-11-18T04:44:01Z,2025-11-18T06:15:35Z,91.0,us-west,pc,GeForce RTX-3060,123.36,50.43,Arena-1,false,21.44,2,kb/m,1.4,False,54.1,ranked,No
sess_ea14189cb5ba,user_1231,07/04/2025 11:19,04/07/2025 13:02,6151.0,Us-east,XBOX,,83.58,63.64,CITY-XL,false,0.0,4,touch,1.4,false,62.2,RANKED,Yes
sess_776dd9c41496,user_2065,10/29/2025 11:22,29/10/2025 11:57,2100.0,apac,Switch,,27.16,26.17, Arena-1 ,No,0.0,1,touch,latest,No,48.6,casual,No
sess_c55f7a53b6e2,user_1703,10/22/2025 11:30,22/10/2025 13:28,7113.0,Us-east, Xbox ,,57.24,15.2,ocean,No,0.0,5,controllr,1.4,false,44.8,Casual,true
sess_eef005d37eca,user_1774,2025-11-23T02:32:28Z,11/23/2025 04:04,5530.0,Apac,PC,Intel Iris,81.33,65.57,Forest,False,0.0,3,kbm,1.3.2,No,55.3,casual,1
sess_12cfdfab686f,user_2117,2025-12-18T21:00:12Z,2025-12-18 21:51:51+00:00,3099.0, EU ,SWITCH,,69.99,26.05, desert ,false,0.0,4,CONTROLLER,1.3.2,No,71.6,CASUAL,1
sess_957cc20d5002,user_1612,2025-11-06 00:44:43+01:00,2025-11-06 01:17:56-05:00,1993.0,sa-east-1,SWITCH,,54.27,103.92,forest,false,0.0,3, touch ,v1.3.2,0,47.3,ranked,No
sess_3a30fa8bfa76,user_81,24/02/2025 03:58,2025-02-24T04:42:27Z,2656.0,apac, Pc ,RX 6600,34.22,23.97, ARENA-1 ,No,0.0,1,KB/M,1.4,false,64.2,Casual,0
sess_973117d47845,user_235,2025-07-27 20:33:11+01:00,07/27/2025 21:09,2176.0,us-west,pc,GTX1080,98.95,81.15,ARENA-1,False,6.9,3,kb/m,,0,58.1,casual,No
sess_c9c9595aa16c,user_495,10/08/2025 21:52,08/10/2025 23:21,5310.0,APAC,mobile,,63.56,48.79,Forest,false,0.0,4,touch,1.3.2,No,52.8,Casual,Yes
sess_0fe663cb2b00,user_189,2025-03-21 13:37:07-05:00,2025-03-21 14:58:08+01:00,4861.0,us-east,PlayStation,,84.75,82.79,Forest,false,0.0,1,Kb/m,latest,0,51.6, ranked ,Yes
sess_e74ad9f386cd,user_108,2025-10-22T08:36:01Z,2025-10-22T09:58:14Z,4933.0, APAC ,pc,Intel Iris,97.45,35.1,OCEAN,No,0.0,1,controller,1.3.2,false,44.6,casual,true
sess_044ede238bb9,user_559,2025-07-04 20:51:25+01:00,04/07/2025 21:00,9.0, EU ,Mobile,,47.51,28.82,City-xl,No,14.09,2,Kb/m,latest,No,58.9,casual,False
sess_baa3173efa07,user_2182,2025-03-22 09:38:27+01:00,03/22/2025 10:23,2716.0,APAC,Switch,,47.63,72.92,city-xl,0,0.0,2,kbm,1.3.2,0,55.2,casual,True
sess_551e2f11e9f3,user_878,2025-10-25 01:15:11+00:00,2025-10-25 02:40:08+00:00,5097.0, US-WEST ,Switch,,45.45,130.97,arena-1,true,0.0,1,Controller,1.3.2,False,45.9,CASUAL,True
sess_20445e1aa688,user_588,2025-12-08 04:07:10-05:00,2025-12-08T04:15:52Z,522.0,US-EAST,Xbox,,87.11,36.64,ocean,0,0.0,1,kbm,1.4,No,53.4,ranked,false
sess_ce49b36fe43e,user_1509,2025-06-14 10:16:08+01:00,2025-06-14T10:32:12Z,964.0,Us-east,Switch,,12.92,39.53,cave,False,3.71,2,KB/M,1.4.0-beta,false,60.5,ranked,False
sess_31dbc968fd84,user_1620,22/10/2025 23:57,2025-10-23T00:35:08Z,2242.0,sa-east-1,PC,GeForce RTX-3060,98.85,77.72,FOREST,False,0.0,1,touch,1.4.0-beta,No,58.1,casual,0
sess_58778e59c76e,user_91,19/11/2025 07:25,19/11/2025 09:03,5895.0,eu,MOBILE,,61.74,70.88,ocean,0,0.0,1,CONTROLLR,latest,No,55.0,casual,true
sess_ddeb872c2a60,user_2414,2025-10-19T06:03:19Z,19/10/2025 06:47,2661.0,EU, Pc ,GTX1080,60.85,20.52,arena-1,false,0.0,3,KB/M,latest,False,63.7,CASUAL,false
sess_d0787b879417,user_544,24/10/2025 14:44,2025-10-24T15:59:00Z,4462.0,US-WEST,Playstation,,66.4,57.17,CITY-XL,False,0.0,3,controllr,,False,56.2,ranked,True
sess_197213e32b5e,user_1353,10/05/2025 16:13,05/10/2025 17:11,3528.0,sa-east-1,PC,GTX1080,66.77,40.83, cave ,false,23.33,0,controller,v1.3.2,0,55.9,ranked,1
sess_10786d3f37c0,user_1521,2025-07-14T01:20:29Z,07/14/2025 02:49,5321.0,APAC, XBOX ,,73.07,61.06,cave,0,0.0,1,controller,latest,True,60.2,ranked,True
sess_d026e3fa45c4,user_361,2025-03-26T15:29:52Z,2025-03-26T17:20:02Z,6610.0,Us-east,xbox,,89.59,52.89,city-xl,False,0.0,1,controller,1.3.2,No,59.4,Casual,true
sess_a74345f8dc08,user_2082,2025-01-28 10:53:47+00:00,2025-01-28T11:47:08Z,3201.0,sa-east-1,Mobile,,34.08,56.06,ARENA-1,false,6.06,2, kbm ,latest,false,50.4,ranked,Yes
sess_7ff33c6846ee,user_2027,2025-10-03T01:02:15Z,10/03/2025 02:40,5882.0,EU,PC,GTX1080,108.93,40.86,city-xl,false,0.94,1,Touch,latest,No,38.8,ranked,Yes
sess_01e5b9108021,user_970,2025-03-26 11:25:57+00:00,2025-03-26T12:49:08Z,4991.0,Us-West,pc,GTX1080,89.6,4.96,desert,False,0.0,1,Kbm,1.4.0-beta,No,65.0,CASUAL,True
sess_4986233f3ee5,user_1528,2025-10-26 22:57:41-05:00,27/10/2025 00:42,6314.0,eu,pc,Intel Iris,84.62,85.96,CITY-XL,false,0.0,2,kbm,1.4.0-beta,true,49.9,ranked,1
sess_120c92a2a2d4,user_464,26/12/2025 17:45,2025-12-26T18:24:04Z,2341.0,sa-east-1,pc,RX 6600,100.26,36.23,DESERT,False,0.0,4,TOUCH,,False,51.9,casual,0
sess_c77f567a6eee,user_1037,30/03/2025 08:42,03/30/2025 10:02,4805.0, sa-east-1 ,Mobile,,78.02,26.63,ocean,False,0.0,1,touch,,False,44.9,ranked,1
sess_6983b5129787,user_537,2025-01-05T00:16:47Z,2025-01-05T00:34:51Z,1084.0,EU,XBOX,,64.7,83.71,desert,True,0.0,2,kb/m,latest,False,51.9,Casual,False
sess_8438e49bfaa9,user_2201,03/26/2025 11:14,26/03/2025 12:46,5473.0,sa-east-1,pc,GTX1080,107.07,40.56,ocean,0,0.0,2,KB/M,1.3.2,False,61.0,Casual,1
sess_fe9966fb9a16,user_740,2025-02-05T13:33:28Z,05/02/2025 14:44,4247.0,US-WEST, Mobile ,,68.96,52.57,ocean,No,"0,00",4,KB/M,latest,No,,Casual,True
sess_cbb0d2248a3b,user_1088,2025-10-21T04:35:19Z,21/10/2025 05:23,2886.0,us-east, Mobile ,,45.49,42.62,OCEAN,False,0.0,2,controller,,false,52.6,Casual,Yes
sess_aa7b8a1c4f89,user_1742,2025-03-21 06:13:07+01:00,2025-03-21T07:27:00Z,73.0,US-WEST,Pc,RX 6600,61.9,35.25,desert,No,0.0,1,controllr,1.4.0-beta,No,51.2,ranked,No
sess_fbf5b36defa7,user_1187,2025-11-12T01:16:37Z,2025-11-12 01:41:40+00:00,1503.0,Sa-east-1,PC,RTX-4090,95.71,34.21,cave,0,6.36,2,KB/M,1.3.2,No,58.8,casual,false
sess_c8bfcc658af3,user_2409,03/30/2025 06:14,2025-03-30T06:20:58Z,366.0,Us-West,Switch,,14.86,12.34,Ocean,0,5.67,2,Kb/m,,1,63.6,casual,No
sess_31204c4bd500,user_521,2025-10-23T20:31:50Z,23/10/2025 20:40,505.0,us-east,Xbox,,60.33,53.9,arena-1,false,13.13,1,CONTROLLER,v1.3.2,0,61.7,casual,False
sess_9554c152d1d8,user_2229,2025-06-30T11:13:29Z,30/06/2025 11:43,1815.0,SA-EAST-1,Xbox,,55.6,41.41,desert,No,0.0,1,kb/m,1.4,False,43.4, casual ,0
sess_874a99ec28ff,user_1652,2025-10-20 16:27:19-05:00,2025-10-20 18:21:17+01:00,6838.0,Us-West,PC,GeForce RTX-3060,69.03,0.0,Arena-1,false,11.27,1, controller ,,Yes,79.0,casual,1
sess_f958c119c4fe,user_560,2025-10-30 05:07:24+01:00,30/10/2025 06:24,4632.0,Us-West,pc,GTX1080,80.47,45.93,ocean,False,7.41,2,touch,latest,False,64.3,CASUAL,True
