event_id,user_id,repo_id,timestamp,event_type,lines_added,lines_deleted,files_changed,dominant_language,ci_status,coverage_percent,editor,os,time_to_ci_minutes,build_duration_s,tests_run,tests_failed,is_weekend,pr_merge_time_hours,label_is_high_quality,exam_period,commit_message_length,is_bot_user
evt_71bace4ff110,user_2650,repo_1164,2025-11-05T21:40:48Z,pr_merged,6,3,9,JAVA, cancelled ,70.5,VSCode,Windows,9.05,157.88,112,17,False,55.6,No,False,43.0,human
evt_607c071b6c01,user_385,repo_357,2025-07-14T18:21:39Z,review_comment,68,2,1, python ,SUCCESS,54.7,INTELLIJ,Windows,12.26,345.1,218,21,No,,0,False,40.0, HUMAN 
evt_27be57b37a49,user_1547,repo_316,15/11/2025 10:10,push,45,10,2,python,FAILED,81.9,sublime,linux,9.32,319.58,5,6,true,,False,No,,human
evt_69b910aa0b44,user_2332,repo_1185,30/05/2025 05:09,commit,15,25,1,c++,Success,98.5, vscode ,linux,5.93,297.41,111,12,false,,No,false,32.0, HUMAN 
evt_f6bcc2ac4cb5,user_1471,repo_158,07/04/2025 14:37, commit ,52,8,5,rust,FAILED,76.5, Vim ,linux,7.47,128.29,140,16,False,,0,No,41.0,human
evt_c2ae61eaf843,user_2189,repo_1170,2025-07-20T15:00:45Z, test_run ,16,5,7,Java, failure ,65.5,Sublime,windows,15.8,456.41,210,240,true,,No,0,68.0,human
evt_022c8be1a2b7,user_985,repo_1138,2025-03-30 14:21:54-05:00,ci_run,8,16,3,C++,FAILED,72.3, Nano , win ,6.23,242.05,117,17,true,,false,1,25.0, HUMAN 
evt_fc69c02f3753,user_733,repo_909,07/19/2025 07:23,pr_opened,19,2,7, RUST ,Failed,69.7,VSCode,win,5.74,369.72,110,0,true,26.2,0,No,36.0,human
evt_0f8bb2470f68,user_2108,repo_106,2025-01-24 11:57:24+01:00,ci_run,61,4,3,Go,FAILURE,100,Nano,Linux,4.82,204.11,83,14,False,,No,No,71.0,human
evt_520fd2290735,user_2151,repo_915,21/03/2025 22:48,Pr_opened,2,8,1, java ,FAILURE,55.2,Vscode,Linux,22.7,224.1,76,6,No,36.8,False,false,,human
evt_812ae758fa61,user_387,repo_1019,10/20/2025 19:13,pr_opened,0,14,10, C++ , success ,68.5,Nano,Linux,14.33,326.0,70,0,No,34.4,No,No,57.0,human
evt_a4a80e1f6d89,user_1211,repo_292,2025-03-20 03:05:13+01:00, commit ,13,4,7, C++ ,success,78.7,IntelliJ,windows,5.09,309.18,99,7,No,,False,false,30.0,Human
evt_c63f50b8b70d,user_2100,repo_588,2025-03-01T02:25:32Z,pr_opened,8,15,8,JAVA,cancelled,92.6,Sublime,MACOS,2.91,482.58,114,15,1,69.6,False,No,30.0, HUMAN 
evt_7aa7e2149c7c,user_1608,repo_794,2025-10-31T14:23:24Z,ci_run,1,3,5, c++ ,FAILURE,68.0,vim,WIN,16.01,425.3,147,21,0,,0,True,18.0, HUMAN 
evt_255eba17ed74,user_1838,repo_107,2025-10-29 12:28:26+00:00,COMMIT,0,20,1, Java ,success,82.0,Vscode,WIN,6.99,251.01,110,6,False,,False,Yes,26.0,human
evt_6f148ca4eaa0,user_1040,repo_541,2025-10-26T06:21:34Z,commit,12,4000,1,C++,Success,54.4,VSCode,windows,1133.99,42.52,79,2,True,,0,1,38.0,human
evt_7ae9aafa1d32,user_1081,repo_1093,09/04/2025 23:15,Review_comment,9,4,4,JAVASCRIPT,success,81.0,Vim,LINUX,14.41,392.99,98,10,No,,false,0,75.0,Human
evt_816557cfed9f,user_720,repo_118,2025-04-10 10:49:24+00:00, review_comment ,10,6,1,java,Failure,95.4,vim,WIN,3.7,446.8,129,20,No,,No,False,63.0,bot
evt_2fec3bca8b90,user_1385,repo_238,13/03/2025 01:53,REVIEW_COMMENT,0,36,2,JAVA,SUCCESS,"79,1",vim,windows,11.32,318.66,158,14,False,,0,False,69.0,Human
evt_29ab8c739b69,user_1503,repo_1084,2025-05-25 12:58:52+00:00,Push,12,23,1,C++,FAILURE,44.0,SUBLIME,WIN,13.5,167.74,186,0,True,,0,No,64.0,human
evt_e8a595da3d78,user_2478,repo_1041,2025-10-27T12:53:19Z,PR_MERGED,7,16,1,Java,cancelled,63.3,IntelliJ,Macos,10.52,344.75,97,4,False,28.6,False,1,72.0,Human
evt_869b3717538a,user_419,repo_983,2025-09-20T06:27:20Z,test_run,8,16,3,Java,Failed,80.8,vim,Win,1.94,254.09,184,10,1,,False,No,43.0,Human
evt_33bf21f55a40,user_41,repo_1198,2025-03-20 20:17:24+01:00,push,5,1,1,Java,SUCCESS,86.7,VSCODE,linux,9.64,380.48,85,10,0,,No,false,45.0,Human
evt_144c7eb712e3,user_757,repo_403,2025-08-25 15:12:14-05:00,Test_run,11,4,1,JavaScript,Cancelled,85.8,intellij,WIN,8.16,264.36,169,3,False,,Yes,false,20.0,human
evt_ebc4c223997a,user_914,repo_61,22/10/2025 00:06,review_comment,14,23,1,C++,Success,100,vim,linux,24.57,443.43,147,7,False,,true,0,35.0,human
evt_719423d42789,user_1189,repo_702,2025-08-02 17:01:07-05:00,pr_merged,13,18,1,go,Cancelled,96.4,VSCode,macOS,2.76,539.78,126,15,Yes,-9.027019744944745,false,false,10.0, HUMAN 
evt_d092aa9c45a5,user_2687,repo_1080,2025-02-14T23:00:54Z,test_run,2,25,1,python,CANCELLED,59.9,Vim, linux ,10.99,1.37,155,12,0,,No,No,49.0,Human
evt_ac50fab20544,user_2206,repo_1189,19/02/2025 12:23,PR_MERGED,66,10,3,rust,FAILED,66.2, Sublime , Linux ,13.42,362.69,117,15,False,35.3,0,False,41.0,human
evt_43104e92e933,user_1776,repo_344,02/28/2025 01:42,CI_RUN,41,2,4,rust,FAILED,85.2, VSCode ,Linux,12.54,349.34,127,1,0,,1,0,41.0,Human
evt_a5dec1d92beb,user_2287,repo_103,07/19/2025 19:01,ci_run,0,14,5,JAVASCRIPT,failure,75.3,vim, linux ,13.43,123.69,236,4,true,,No,false,14.0, HUMAN 
evt_bd038f5a8438,user_902,repo_1,11/11/2025 05:25,commit,3,8,1, Python ,FAILED,87.1,Sublime,MACOS,3.64,271.29,115,15,false,,0,0,,human
evt_2fe8f8fe8f34,user_806,repo_305,10/20/2025 16:25,Pr_opened,17,19,1,JAVASCRIPT,success,66.3,Vim,Linux,10.7,271.08,103,0,No,36.3,No,No,42.0,bot
evt_51e98a6239b0,user_2507,repo_1019,07/02/2025 16:43,PR_OPENED,9,6,1,JavaScript,Success,62.2,VIM, LINUX ,4.21,456.54,144,16,false,78.8,false,False,46.0,human
evt_89ad5961dead,user_1825,repo_136,01/27/2025 14:01,pr_merged,14,12,1,C++,SUCCESS,88.9,vim,WIN,7.39,302.49,75,14,false,6.4,0,No,45.0,human
evt_638dbc98b0ba,user_1947,repo_715,2025-08-14 21:48:53+00:00,ci_run,37,13,4,C++,success,89.7,vim,WIN,16.46,242.32,63,11,False,,false,0,54.0,Human
evt_2dc41e574010,user_264,repo_199,26/03/2025 04:06,COMMIT,35,33,3,Javascript,SUCCESS,51.2,nano,windows,8.52,354.12,156,1,False,,False,True,72.0,human
evt_231097239689,user_1542,repo_119,04/06/2025 02:23,review_comment,7,5,1,RUST,success,92.4,Vim,Windows,11.74,108.04,89,22,No,,false,false,20.0,human
evt_0df30e294695,user_1734,repo_920,12/12/2025 08:12,COMMIT,12,3,1,RUST, failed ,64.3,Sublime,windows,11.47,41.6,149,0,0,,false,0,69.0, HUMAN 
evt_b6641a136e8a,user_58,repo_1019,2025-09-12T14:43:08Z,pr_merged,4,19,4,rust,Success,85.1,VSCODE, Linux ,15.57,260.22,83,26,False,5.6,0,false,39.0, HUMAN 
evt_f4ee1907760e,user_1885,repo_1173,2025-10-16 23:45:46+01:00,commit,34,2,1,C++,cancelled,61.2,Vim,WIN,931.74,269.45,154,1,0,,No,false,98.0, HUMAN 
evt_31dc39e2e592,user_1425,repo_1019,2025-11-02 08:11:44-05:00,pr_opened,10,0,3, python ,SUCCESS,94.0,vim,Linux,14.11,329.35,121,0,Yes,53.8,Yes,No,24.0,Human
evt_8f1fe4905291,user_1811,repo_2,2025-10-30T19:49:40Z,test_run,2,8,1,Go, success ,96.3,SUBLIME,Win,20.13,2.77,226,11,No,,Yes,1,50.0, HUMAN 
evt_47ce1dfa5ae6,user_2427,repo_876,2025-01-11T14:21:30Z,commit,58,6,10,c++,FAILED,98.0,Vim, linux ,6.51,123.3,101,16,True,,false,0,49.0, HUMAN 
evt_b93961f1eab0,user_2271,repo_1050,25/02/2025 17:27,review_comment,4,3,6,RUST,SUCCESS,52.8,Vim,macOS,1.56,58.55,125,18,No,,false,False,41.0,human
evt_fd0d8d85c851,user_2141,repo_517,15/06/2025 08:26,pr_merged,114,30,1,JavaScript,cancelled,59.9,VIM, LINUX ,2.4,443.6,149,26,Yes,67.3,No,False,44.0,human
evt_b65bbb98b008,user_2823,repo_145,2025-02-05 15:39:09+00:00, Review_comment ,0,13,3,go,failure,64.1,VSCODE,WIN,19.87,2.27,139,3,False,,0,false,60.0,human
evt_c8d5696606c5,user_1963,repo_71,11/06/2025 10:58, test_run ,15,22,1, Python ,cancelled,73.9,IntelliJ,Windows,0.23,230.81,159,18,False,,No,false,87.0,human
evt_e197b3651bd3,user_2458,repo_899,03/11/2025 10:53, TEST_RUN ,24,10,5,GO, failure ,69.2,nano,linux,6.34,6.96,185,12,No,,false,0,61.0, HUMAN 
evt_621f8b2970d3,user_1029,repo_469,2025-05-19T01:02:54Z,test_run,15,8,2,Rust,SUCCESS,75.9,Vim,WIN,22.54,500.77,98,7,False,,False,False,,Human
evt_12189fded594,user_109,repo_483,03/21/2025 02:07, Pr_opened ,18,13,1,Java,FAILED,97.5,Sublime,Windows,7.94,192.11,128,8,No,0.6,No,0,18.0,Human
evt_b3022fe15b16,user_662,repo_555,2025-01-14T17:23:32Z,CI_RUN,50,21,2,Java,SUCCESS,80.5,INTELLIJ,linux,8.77,276.16,105,7,false,,False,False,,human
evt_036a5e03724b,user_1933,repo_609,2025-01-22 20:50:17+01:00,test_run,0,2,1, Python ,cancelled,73.7,IntelliJ,macOS,8.44,410.79,168,8,No,,false,0,67.0, HUMAN 
evt_b86c232d87e0,user_1591,repo_715,19/06/2025 19:22,push,0,8,2,Go,failed,90.3,SUBLIME,LINUX,17.26,276.49,100,20,No,,False,0,43.0, HUMAN 
evt_de49f0be3e79,user_2557,repo_1173,09/19/2025 05:34, review_comment ,1,13,1,Rust,cancelled,75.8,VSCode,Macos,10.11,309.31,161,14,False,,false,0,30.0,Human
evt_0b6934faf68d,user_860,repo_968,2025-04-04T15:14:05Z,test_run,24,9,3,JAVASCRIPT,failed,"90,0",SUBLIME,WINDOWS,0.4,252.05,50,12,False,,No,False,54.0,Human
evt_d2755a272620,user_1820,repo_640,03/28/2025 12:18,ci_run,2,5,14,python,Success,45.1,nano,WIN,3.23,330.35,118,19,false,,false,true,36.0,human
evt_e1a09a387066,user_2446,repo_1046,10/29/2025 14:00,Test_run,6,0,4,Python,cancelled,79.8,Nano,LINUX,8.47,275.45,57,24,False,,False,true,40.0,human
evt_692fb7302456,user_1523,repo_641,08/11/2025 12:56,pr_merged,23,51,1,Java,Cancelled,"77,8", IntelliJ ,linux,11.12,303.12,140,15,No,56.0,false,False,66.0, HUMAN 
evt_f046450a7be1,user_689,repo_316,03/27/2025 21:37,test_run,30,21,1,PYTHON,Cancelled,"93,6",VSCode, WIN ,13.42,457.21,100,2,false,,No,1,13.0,Human
evt_98ef1e686d38,user_1481,repo_542,2025-09-30T18:19:50Z,test_run,22,7,5,c++,cancelled,"68,2",sublime,linux,8.16,149.94,106,7,0,,No,0,54.0, HUMAN 
evt_0260a2a42057,user_2137,repo_549,10/23/2025 05:34,ci_run,2,41,6,JAVASCRIPT,success,75.1,vscode,linux,742.17,272.99,127,14,No,,False,0,49.0,human
evt_f4234a9fba69,user_779,repo_387,2025-06-27 14:53:05-05:00,REVIEW_COMMENT,44,3,3,Rust,failure,69.7,Nano,MACOS,9.02,442.5,72,15,No,,0,No,58.0, HUMAN 
evt_9e4a87a78ccf,user_2944,repo_957,2025-09-26 12:00:43+01:00,push,0,2,1,Java,SUCCESS,82.1,intellij,Linux,,140.44,123,8,false,,0,false,48.0, HUMAN 
evt_cbd7d793f7a2,user_1619,repo_1197,03/27/2025 08:03,COMMIT,4,10,1,GO,FAILURE,79.3,Sublime,macOS,15.3,142.77,130,11,False,,false,true,11.0, HUMAN 
evt_d29db9e9ff3e,user_153,repo_168,2025-06-29T00:32:52Z,ci_run,19,17,4, JavaScript ,failure,66.1,vim,macOS,13.86,289.74,146,7,true,,false,0,45.0,Human
evt_1c19fd66d3e7,user_209,repo_358,2025-10-27 07:26:39-05:00,review_comment,10,6,2,c++,FAILED,54.5,VSCode,Macos,3.12,34.94,168,4,False,,false,1,41.0, HUMAN 
evt_1346c19c12ab,user_1735,repo_16,03/30/2025 23:48,TEST_RUN,0,1,5, C++ ,failure,94.4,IntelliJ,Windows,0.49,419.22,155,10,Yes,,0,true,40.0, HUMAN 
evt_c8e210bb65be,user_1600,repo_982,02/11/2025 19:51,push,1,13,3,Java,FAILED,83.8,Vscode,WIN,11.19,149.16,104,21,0,,False,false,47.0,human
evt_74c5097a3d4e,user_1867,repo_646,04/12/2025 12:33,Pr_merged,3,1,1,c++,success,100,VIM,WINDOWS,18.05,332.25,194,15,Yes,47.5,No,0,24.0, HUMAN 
evt_2d13d62bb0ef,user_786,repo_238,2025-06-06 21:09:55+00:00,Commit,23,12,2,Python,failure,68.4,vim,Macos,4.68,505.96,138,0,0,,0,false,57.0,Human
evt_65afbf208cd9,user_1114,repo_457,28/10/2025 01:38,PR_OPENED,64,16,9,JavaScript,failure,78.3,Nano,Linux,6.55,228.41,144,7,No,3.1,0,true,21.0,human
evt_cf4d91973a50,user_1764,repo_496,2025-03-26 20:07:04-05:00,review_comment,19,11,1,Python,success,78.6,Sublime,win,9.81,291.67,39,2,0,,0,true,,Human
evt_fce68b0324b9,user_2394,repo_508,08/13/2025 08:38,REVIEW_COMMENT,6,1,2,C++,SUCCESS,90.4,INTELLIJ,Windows,5.62,326.83,114,9,No,,false,false,56.0,BOT
evt_a3e68bbf3d30,user_2527,repo_550,2025-08-17 00:51:22+00:00,COMMIT,81,3,1,Rust,Success,82.0,sublime,macOS,15.85,97.06,129,16,1,,0,No,50.0,human
evt_877b4d1017cf,user_2106,repo_929,24/10/2025 07:46,push,1,12,15,rust,failure,84.6,SUBLIME,Macos,12.33,300.85,132,3,False,,false,false,69.0, HUMAN 
evt_dee45b25cb3c,user_2482,repo_1009,2025-03-07T06:36:16Z,review_comment,22,1,6,C++,cancelled,"72,7",Nano,Macos,18.07,116.76,118,18,0,,false,False,37.0,Human
evt_bf6b44769e02,user_1240,repo_536,15/09/2025 12:18,REVIEW_COMMENT,62,3,2,Go,cancelled,"62,5",vim,Windows,2.85,299.39,88,14,false,,false,False,28.0, HUMAN 
evt_f24d863248d7,user_2170,repo_452,2025-02-15 18:45:06-05:00,commit,0,15,5,python,FAILURE,77.3,Intellij,MACOS,4.89,3.24,124,16,Yes,,False,No,30.0,bot
evt_b6d78fbe286b,user_2945,repo_376,2025-07-09T05:12:03Z,review_comment,14,14,1,c++,FAILED,"95,8",Vim,WIN,,,186,2,false,,False,False,36.0,Human
evt_1471b9d9a6a4,user_2064,repo_360,2025-03-27 10:12:10+01:00,pr_opened,61,10,2,Python,failed,71.9, IntelliJ ,LINUX,8.55,392.96,157,20,0,42.0,false,True,52.0, HUMAN 
evt_944ae428b307,user_1976,repo_672,10/23/2025 08:28,test_run,23,4,1,Python,cancelled,100,SUBLIME, linux ,3.8,166.11,123,6,No,,0,false,53.0,bot
evt_1a16e014adc5,user_1208,repo_506,29/03/2025 02:41,PR_MERGED,14,1,5,javascript,failure,93.2,Nano, WIN ,7.39,384.03,116,10,1,19.8,0,true,54.0, HUMAN 
evt_c82d2b3d9b09,user_2790,repo_695,2025-03-29T09:41:52Z,commit,16,8,1,python,FAILED,74.0,Vim,WIN,453.18,368.0,117,11,Yes,,False,true,43.0,Human
evt_b87b1517ca61,user_2681,repo_188,28/03/2025 23:35,Push,29,18,6,C++,failed,63.0,VSCode,WIN,11.3,282.79,149,7,False,,No,1,1.0,Human
evt_41ad5cdb09b0,user_958,repo_512,2025-10-24 20:42:43+00:00,commit,23,26,4,rust,FAILED,76.7,vim,Linux,13.27,342.39,126,6,false,,0,0,45.0,human
evt_ef16106fd775,user_2711,repo_972,11/15/2025 01:26,ci_run,49,5,2,Rust,FAILURE,100,Vscode,LINUX,12.22,310.77,87,10,true,,false,No,31.0,Human
evt_3810d44f1ab0,user_2499,repo_1092,2025-09-21T18:31:35Z,TEST_RUN,9,2,1,PYTHON,SUCCESS,89.7,VSCode,WIN,3.77,266.83,127,0,Yes,,true,False,76.0,Human
evt_70c901bc8dd9,user_1086,repo_1190,2025-08-07T17:01:26Z,PUSH,0,5,1,JavaScript,failed,83.0,VSCode,linux,6.86,238.28,127,13,No,,No,false,, HUMAN 
evt_4f6fd4551c3b,user_75,repo_23,10/22/2025 02:05,Pr_opened,35,24,10,JavaScript,FAILED,56.6,IntelliJ,linux,9.72,247.17,137,6,false,4.3,No,0,12.0, HUMAN 
evt_ee9d3b258f65,user_1944,repo_458,07/09/2025 22:20,test_run,23,2,2,java,FAILED,75.4,Intellij,macos,0.11,494.11,205,17,Yes,,False,No,48.0,human
evt_8ee6508c16e7,user_2475,repo_710,2025-02-08 00:37:56+01:00,review_comment,0,31,9,Rust,FAILURE,86.3,Nano,linux,9.23,360.4,100,8,Yes,,false,False,,bot
evt_5335da4f4eb2,user_668,repo_629,20/03/2025 05:38,commit,72,26,5,Go,SUCCESS,42.9,Vim,linux,14.45,175.31,82,8,false,,false,False,46.0,human
evt_8b27d891ba58,user_289,repo_111,2025-12-04 20:40:00+00:00,Pr_opened,65,13,3,javascript,Failed,56.0,VIM,macos,7.83,187.17,132,0,false,33.4,No,False,58.0,human
evt_153cf2707f47,user_2252,repo_190,2025-06-23 05:49:35+01:00,review_comment,5,2,1,rust,failure,71.3,SUBLIME,Windows,1.9,5.32,19,6,No,,False,No,64.0, HUMAN 
evt_01accb260431,user_1579,repo_725,12/22/2025 15:22,CI_RUN,13,6,1,Python,SUCCESS,72.9,Nano, macos ,10.27,219.99,130,17,No,,No,False,51.0, HUMAN 
evt_aff78c501f7a,user_1324,repo_140,2025-10-20 14:13:10-05:00,test_run,27,30,1,C++,CANCELLED,"82,6",NANO,LINUX,9.1,324.04,75,25,False,,No,false,52.0,Human
evt_b521252c2efc,user_599,repo_575,2025-10-23 05:35:26-05:00,pr_opened,26,8,1,C++,failure,100,vim,win,2.5,325.0,59,17,0,63.5,false,0,84.0,Human
evt_6d96bcdfe6c5,user_757,repo_40,20/11/2025 02:00,Review_comment,48,2,1,JavaScript,SUCCESS,81.8,VSCode,Windows,18.99,216.62,159,16,false,,0,No,72.0,human
evt_c2ba3d642f28,user_571,repo_307,2025-10-26 14:20:14-05:00,CI_RUN,0,19,1,Rust,Cancelled,52.9,Nano, LINUX ,12.58,337.46,151,12,Yes,,False,true,, HUMAN 
evt_530b7d5171c6,user_2751,repo_149,12/20/2025 02:14,Test_run,14,0,1,Python,failure,84.3,INTELLIJ,Macos,10.43,326.22,114,9,True,,0,false,47.0,Human
evt_a5b541aeb920,user_1820,repo_498,2025-06-30T10:06:43Z,pr_opened,25,4,1,Rust,success,55.4,Vscode,WINDOWS,14.51,168.41,215,12,No,20.2,No,No,37.0,human
evt_14f323f8a183,user_2468,repo_915,30/10/2025 21:53, pr_merged ,9,37,1,Rust,SUCCESS,87.1,Vscode,WIN,6.37,118.33,93,19,No,20.7,False,True,, HUMAN 
evt_52d3f4b6d980,user_603,repo_643,07/31/2025 15:31,ci_run,12,16,1,Go,success,76.0,vim,Linux,5.75,156.76,161,0,false,,False,false,61.0, HUMAN 
evt_f681d7582a18,user_1715,repo_1014,10/25/2025 17:29,PR_OPENED,9,4,1, Java ,Failure,71.3,vscode,WIN,7.25,6.24,67,7,1,-8.308228581825766,0,true,51.0,BOT
evt_d4e7b0002b34,user_1491,repo_988,2025-10-30T22:02:22Z,ci_run,59,28,6,JAVASCRIPT,Failure,72.2,VIM,linux,5.64,294.83,151,21,False,,false,1,50.0,Human
evt_8917be2fd772,user_210,repo_489,2025-03-15 21:11:52+00:00,pr_opened,14,12,2,Rust,success,55.4,nano,macOS,21.22,5.82,57,9,True,37.3,0,No,39.0, HUMAN 
evt_6e4cf679e228,user_564,repo_1127,08/14/2025 06:53,pr_opened,100,18,1,Python,FAILED,67.6,Vim,Linux,6.05,297.37,103,12,false,29.2,No,False,34.0,Human
evt_b9dd2d93dd27,user_2887,repo_774,2025-02-25 01:11:22+01:00,ci_run,18,4,2,C++,SUCCESS,"74,0",intellij,LINUX,9.96,169.13,76,5,No,,0,0,48.0,Human
evt_688073fbb97b,user_2111,repo_511,03/20/2025 17:34,pr_merged,11,1,1,Java,SUCCESS,"79,9",vim,linux,596.77,226.14,135,9,false,16.5,0,0,32.0,human
evt_3f788936a389,user_926,repo_393,2025-03-30 10:11:35+00:00,review_comment,30,1,1,java,FAILED,87.0,VSCODE,linux,12.63,445.68,50,0,True,,1,True,32.0, HUMAN 
evt_441dbf715b65,user_2863,repo_277,2025-03-25 05:14:17+01:00,test_run,4,8,1, Rust ,SUCCESS,92.3,Sublime,macos,11.94,241.07,67,13,0,,0,Yes,60.0,human
evt_fb872400a44d,user_12,repo_357,01/14/2025 08:01,pr_merged,8,8,2, Rust ,SUCCESS,73.8,Sublime,LINUX,23.55,59.84,82,0,false,15.0,0,false,28.0, HUMAN 
evt_0b4df1147ae7,user_2441,repo_1099,2025-03-26T09:14:45Z,test_run,1,5,4,go,success,66.6,NANO,macOS,7.33,324.15,96,4,0,,False,True,44.0,human
evt_d6889063097d,user_1149,repo_542,2025-06-12T03:09:38Z,ci_run,2,15,1,JavaScript,Cancelled,74.1,Sublime,WIN,5.45,200.67,29,11,false,,false,No,59.0,human
evt_a6516bdaefec,user_380,repo_65,2025-03-21 03:08:57+01:00,TEST_RUN,0,12,1,Javascript,failure,74.3,sublime,Windows,17.07,231.12,102,11,0,,false,0,41.0, HUMAN 
evt_47c96efb6c5f,user_408,repo_470,2025-07-14T16:11:44Z,ci_run,2,14,1,JavaScript,FAILED,76.5,vim,macos,7.77,432.2,133,0,false,,false,No,69.0,human
evt_a3c8594694a6,user_2847,repo_703,2025-03-25T18:24:24Z,push,34,6,1,Rust,failure,53.6,vim,Windows,12.45,345.88,211,4,false,,false,true,74.0,human
evt_b53125055efc,user_935,repo_310,2025-02-23 09:38:08-05:00,Pr_merged,58,5,17,Python,FAILURE,71.8,Sublime,WIN,9.54,301.95,148,15,true,7.8,False,False,,Human
evt_ce69fd131ed2,user_2073,repo_87,29/03/2025 17:57,REVIEW_COMMENT,11,6,2, Rust ,failure,63.3,Vim,Linux,15.94,148.37,147,22,True,,0,True,40.0,Human
evt_2c5ad5505c7d,user_2576,repo_352,2025-08-04T13:22:43Z, pr_opened ,0,0,13,Rust,failure,60.0,intellij,Linux,10.23,339.21,107,13,0,8.6,False,No,51.0,Human
evt_a654a1fec081,user_278,repo_1071,2025-03-24T08:13:14Z,Review_comment,10,44,2,GO,FAILED,84.8,vim,windows,21.24,288.42,151,20,0,,No,False,74.0, HUMAN 
